STATION_CODE,STATION_NAME,DIVISION,ZONE,DISTRICT,STATE,WORKING HOURS FROM,WORKING HOURS TO,TERMINAL TYPE,AVG. RAKES HANDLING,LINE COUNT,HANDLING TYPE,WAREHOUSE_AVAILABLE (YES/NO),OWNER,ASSOCIATED WEIGHBRIDGE,ALTERNATE WEIGHBRIDGE,TANK HANDLING (YES/NO),LATITUDE,LONGITUDE
TGH,TITA GARH,SDAH,ER,24 PARAGANAS NORTH,WEST BENGAL,06:00,22:00,GOODS-SHED,6.3,2.0,MANUAL,N,IR,,,N,22.741925,88.37458889
ANKL,ANKOLA,KAWR,KR,UTTARA KANNADA,KARNATAKA,,,GOODS-SHED,3.5,1.0,MANUAL,N,IR,VEN,,N,14.64556667,74.33199167
APLU,ADANI POWER LIMITED UDUPI SERVED BY NANDIKOOR,KAWR,KR,UDUPI,KARNATAKA,06:00,22:00,PRVT-SDNG,7.8,,,,,,,,13.132679,74.806023
HPCT,HPCL SIDING THOKUR,KAWR,KR,DAKSHINA KANNADA,KARNATAKA,06:00,22:00,PRVT-SDNG,1.6,3.0,MECHANICAL,N,IR,TOK,,Y,12.963409,74.828997
KAWR,KARWAR,KAWR,KR,UTTARA KANNADA,KARNATAKA,06:00,18:00,GOODS-SHED,4.3,1.0,MANUAL,N,IR,VEN,,N,14.82003056,74.18275278
KUDA,KUNDAPURA,KAWR,KR,UDUPI,KARNATAKA,06:00,18:00,GOODS-SHED,3.1,,,,,,,,13.61337778,74.72888056
MLPB,"M/S MULTIMODAL LOGISTICS PARK,BALLI",KAWR,KR,SOUTH GOA,GOA,06:00,18:00,PRVT-SDNG,7.6,2.0,MECHANICAL,Y,IR,VEN,,N,15.1517958,74.0210456
MMRT,M/S MRPL SIDING,KAWR,KR,DAKSHINA KANNADA,KARNATAKA,,,PRVT-SDNG,9.4,2.0,MECHANICAL,N,IR,VEN,,N,12.963409,74.828997
SL,SURATHKAL,KAWR,KR,DAKSHINA KANNADA,KARNATAKA,,,GOODS-SHED,4.9,1.0,MANUAL,N,IR,TOK,,N,12.99023889,74.80548889
TOK,THOKUR,KAWR,KR,DAKSHINA KANNADA,KARNATAKA,,,CRT,8.0,1.0,MANUAL,N,IR,VEN,,N,12.96319722,74.82981667
UD,UDIPI,KAWR,KR,UDUPI,KARNATAKA,06:00,18:00,GOODS-SHED,9.6,1.0,MANUAL,N,IR,TOK,,N,13.33626389,74.77101111
VEN,VERNA,KAWR,KR,SOUTH GOA,GOA,06:00,18:00,CRT,9.6,3.0,MANUAL,Y,IR,RN,,N,15.35395833,73.91241944
CHI,CHIPLUN,RN,KR,RATNAGIRI,MAHARASHTRA,06:00,18:00,GOODS-SHED,2.7,1.0,MANUAL,N,IR,KLMG,,N,17.542175,73.52190278
INP,INDAPUR HALT,RN,KR,RAIGAD,MAHARASHTRA,06:00,22:00,CRT,2.0,,,,,,,,18.29788333,73.24490833
KFD,KARANJADI,RN,KR,RAIGAD,MAHARASHTRA,06:00,18:00,GOODS-SHED,3.8,,,,,,,,17.99852778,73.40426667
KHED,KHED,RN,KR,RATNAGIRI,MAHARASHTRA,06:00,18:00,CRT,3.4,,,,,,,,17.71236944,73.41030833
KOL,KOLAD,RN,KR,RAIGAD,MAHARASHTRA,06:00,18:00,GOODS-SHED,1.3,1.0,MANUAL,N,IR,KLMG,,N,18.39221389,73.22361667
RN,RATNAGIRI,RN,KR,RATNAGIRI,MAHARASHTRA,06:00,18:00,CRT,4.7,2.0,MANUAL,Y,IR,KLMG,,N,17.00339444,73.35896389
ZARP,ZARAP,RN,KR,SINDHUDURG,MAHARASHTRA,,,GOODS-SHED,6.2,1.0,MANUAL,N,IR,RN,,N,15.94775833,73.73420833
AH,ACHHNERA JN.,AGRA,NC,AGRA,UTTAR PRADESH,06:00,22:00,GOODS-SHED,1.7,1.0,MANUAL,N,IR,,,N,27.18173889,77.75779722
ARSG,"CENTRAL ORDINANCE DEPOT MILITARY SDG,  S/B AGRA CANTT.",AGRA,NC,AGRA,UTTAR PRADESH,06:00,16:00,RLY-SDNG,4.2,1.0,MANUAL,N,IR,,,N,27.157722,77.989883
BPOL,"BHARAT PETROLEUM CORPORATION LTD, BAD",AGRA,NC,MATHURA,UTTAR PRADESH,06:00,22:00,PRVT-SDNG,2.2,2.0,MECHANICAL,N,BPCL,,,Y,27.3958506,77.68956184
BR,BANDH BARETA,AGRA,NC,BHARATPUR,RAJASTHAN,06:00,18:00,GOODS-SHED,6.3,1.0,MANUAL,N,IR,,,N,26.91062333,77.36431667
CHJ,CHATA,AGRA,NC,MATHURA,UTTAR PRADESH,,,GOODS-SHED,1.5,1.0,MANUAL,N,IR,,,N,27.711944,77.502744
DHO,DHAULPUR JN.,AGRA,NC,DHOLPUR,RAJASTHAN,06:00,22:00,CRT,1.3,2.0,MANUAL,N,IR,,,N,26.69654333,77.90608833
FGSG,"FOOD CORPORATION SIDING, AGRA CANTT.",AGRA,NC,AGRA,UTTAR PRADESH,06:00,22:00,PRVT-SDNG,9.0,2.0,MANUAL,N,FCI,,,N,27.157722,77.989883
FTS,FATEHPUR SIKRI,AGRA,NC,AGRA,UTTAR PRADESH,06:00,18:00,GOODS-SHED,5.8,1.0,MANUAL,N,IR,,,N,27.094045,77.670815
